opis_id,name,address,city,state,retail_price,latitude,longitude
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,3.20233333,40.882200,-74.296000
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,3.53233333,41.092800,-74.175250
1348,GLOBAL,SR-73,Palmyra,NJ,3.359,40.003700,-75.025700
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,3.59066666,35.169800,-107.890900
1364,7- ELEVEN #40507,"I-80/I-90, MM 56 WB",Rolling Prairie,IN,3.98233333,41.722900,-86.584100
1372,PILOT TRAVEL CENTER #469,"I-77, EXIT 101 & SR-627",Canton,OH,3.62233333,40.814772,-81.382900
1376,FUEL MART #782,"I-75, EXIT 118",Lima,OH,3.08566666,40.747333,-84.122250
1379,TA LODI TRAVEL CENTER,"I-71, EXIT 209 & I-76/US-224, EXIT 1",Seville,OH,3.739,41.022700,-81.856200
1384,SUNOCO,"I-80/I-90, EXIT 13 & US-20ALT/SR-15",Montpelier,OH,3.41566666,41.598200,-84.614700
1391,ONCUE EXPRESS #2045,"I-35, EXIT 203 & SR-15",Billings,OK,3.21566666,36.524600,-97.418900
1395,DOMINO FOOD AND FUEL #1,"I-40, EXIT 66",Clinton,OK,3.099,35.511500,-98.979500
1404,ONE9 #339,"I-74, EXIT 4 & SR-63",Covington,IN,3.26233333,40.132600,-87.381900
1414,SAC SHOP #507,"I-70, EXIT 12/161",Breezewood,PA,4.099,39.990500,-78.245300
1424,GETTYSBURG TRAVEL PLAZA,US-15 & SR-394,Gettysburg,PA,3.899,39.832000,-77.222300
1428,CIRCLE K #4702408,"I-65, EXIT 168 & SR-38/SR-25",Lafayette,IN,3.43233333,40.376883,-86.871600
1432,KWIK FILL #259,"I-81, EXIT 57",Mechanicsburg,PA,4.049,40.195600,-77.015050
1444,PILOT TRAVEL CENTERS #346,"I-20, EXIT 92 & US-601",Lugoff,SC,3.43233333,34.229600,-80.714700
1445,PILOT TRAVEL CENTERS #402,"I-80, EXIT 367",Cheyenne,WY,3.709,41.151850,-104.793900
1447,HOT SPOT #3005,US-221,Chesnee,SC,3.199,35.115400,-81.867800
1453,EXPRESS STOP,US-278/SR-101/SR-6 & SR-113,Rockmart,GA,3.319,33.997900,-85.059400
1455,PETRO FLORENCE,"I-95, EXIT 169",Florence,SC,3.32566666,34.137967,-79.706250
1461,CIRCLE K #2705370,"I-26, EXIT 15 & US-176",Inman,SC,3.099,35.052800,-82.054000
